,generic_name,synonym
12676,Lactobacillus/Hydrolyzed Collagen Ferment Filtrate Extract,lactobacillus/hydrolyzed collagen ferment filtrate extract
12677,Lactobacillus/Hydrolyzed Pea Seed Extract Ferment Filtrate,lactobacillus/hydrolyzed pea seed extract ferment filtrate
12678,Lactobacillus/Hypericum Perforatum Flower/Leaf/Stem Extract Ferment Filtrate,lactobacillus/hypericum perforatum flower/leaf/stem extract ferment filtrate
12679,Lactobacillus/Ilex Paraguariensis Leaf Ferment Filtrate,lactobacillus/ilex paraguariensis leaf ferment filtrate
12680,Lactobacillus/Kelp Ferment Filtrate,lactobacillus/kelp ferment filtrate
12681,Lactobacillus/Lac Ferment,lactobacillus/lac ferment
12682,Lactobacillus/Lac Solids/Soybean Oil Ferment,lactobacillus/lac solids/soybean oil ferment
12683,Lactobacillus/Lac/Calcium/Phosphorus/Magnesium/Zinc Ferment,lactobacillus/lac/calcium/phosphorus/magnesium/zinc ferment
12684,Lactobacillus/Lactococcus/Chondrus Ocellatus Ferment Filtrate,lactobacillus/lactococcus/chondrus ocellatus ferment filtrate
12685,Lactobacillus/Lactococcus/Saccharomyces/Soymilk Ferment,lactobacillus/lactococcus/saccharomyces/soymilk ferment
12686,Lactobacillus/Lanolin Ferment Extract,lactobacillus/lanolin ferment extract
12687,Lactobacillus/Leaf Ferment Filtrate,lactobacillus/leaf ferment filtrate
12688,Lactobacillus/Leaf/Panax Ginseng Sprout Ferment Extract Filtrate,lactobacillus/leaf/panax ginseng sprout ferment extract filtrate
12689,Lactobacillus/Ledebouriella Divaricata Root/Angelica Dahurica Root/Angelica Tenuissima Root/Magnolia Liliflora Bud/Asarum Sieboldi Root/Paeonia Suffruticosa Root/Cnidium Officinale Root/Angelica Gigas Root/Aucklandia Lappa Root/Achyranthes Japonica Root/Eucommia Ulmoides Bark/Angelica Pubescens Root/Aconitum Koreanum Root Ferment Filtrate,lactobacillus/ledebouriella divaricata root/angelica dahurica root/angelica tenuissima root/magnolia liliflora bud/asarum sieboldi root/paeonia suffruticosa root/cnidium officinale root/angelica gigas root/aucklandia lappa root/achyranthes japonica root/eucommia ulmoides bark/angelica pubescens root/aconitum koreanum root ferment filtrate
12690,Lactobacillus/Ledum Palustre/Artemisia Capillaris/Houttuynia Cordata/Saururus Chinensis Leaf Extract Ferment Filtrate,lactobacillus/ledum palustre/artemisia capillaris/houttuynia cordata/saururus chinensis leaf extract ferment filtrate
12691,Lactobacillus/Lemon Peel Ferment Extract,lactobacillus/lemon peel ferment extract
12692,Lactobacillus/Lespedeza Cuneata Leaf/Stem Ferment Filtrate,lactobacillus/lespedeza cuneata leaf/stem ferment filtrate
12693,Lactobacillus/Leuconostoc/Acetobacter/Kluyveromyces/Saccharomyces Milk Ferment Filtrate,lactobacillus/leuconostoc/acetobacter/kluyveromyces/saccharomyces milk ferment filtrate
12694,Lactobacillus/Leuconostoc/Artemisia Annua Extract/Polysorbate 80 Ferment Lysate Filtrate,lactobacillus/leuconostoc/artemisia annua extract/polysorbate 80 ferment lysate filtrate
12695,Lactobacillus/Leuconostoc/Blueberry Fruit Extract Ferment Filtrate,lactobacillus/leuconostoc/blueberry fruit extract ferment filtrate
12696,Lactobacillus/Leuconostoc/Broccoli Extract Ferment Filtrate,lactobacillus/leuconostoc/broccoli extract ferment filtrate
12697,Lactobacillus/Leuconostoc/Coconut Fruit Extract Ferment Filtrate,lactobacillus/leuconostoc/coconut fruit extract ferment filtrate
12698,Lactobacillus/Leuconostoc/Orange Fruit Extract Ferment Filtrate,lactobacillus/leuconostoc/orange fruit extract ferment filtrate
12699,Lactobacillus/Leuconostoc/Polysorbate 80/Portulaca Oleracea Extract Ferment Lysate Filtrate,lactobacillus/leuconostoc/polysorbate 80/portulaca oleracea extract ferment lysate filtrate
12700,Lactobacillus/Leuconostoc/Polysorbate 80/Schisandra Chinensis Fruit Extract Ferment Lysate Filtrate,lactobacillus/leuconostoc/polysorbate 80/schisandra chinensis fruit extract ferment lysate filtrate
12701,Lactobacillus/Leuconostoc/Saccharomyces Abalone Ferment Extract Filtrate,lactobacillus/leuconostoc/saccharomyces abalone ferment extract filtrate
12702,Lactobacillus/Leuconostoc/Saccharomyces/Oenanthe Javanica Leaf/Stem Ferment Filtrate,lactobacillus/leuconostoc/saccharomyces/oenanthe javanica leaf/stem ferment filtrate
12703,Lactobacillus/Leuconostoc/Tomato Fruit Extract Ferment Filtrate,lactobacillus/leuconostoc/tomato fruit extract ferment filtrate
12704,Lactobacillus/Licorice Root Extract Ferment Filtrate,lactobacillus/licorice root extract ferment filtrate
12705,Lactobacillus/Licorice Root Extract/Zizyphus Jujuba Fruit Extract/Wheat Germ Extract Ferment Filtrate,lactobacillus/licorice root extract/zizyphus jujuba fruit extract/wheat germ extract ferment filtrate
12706,Lactobacillus/Lycium Chinense Fruit Extract Ferment Filtrate,lactobacillus/lycium chinense fruit extract ferment filtrate
12707,Lactobacillus/Lycium Chinense Fruit/Rehmannia Glutinosa Root/Cuscuta Chinensis Fruit/Cistanche Deserticola/Zanthoxylum Piperitum Fruit/Chrysanthemum Morifolium Fruit/Poria Cocos/Cinnamomum Cassia Ramulus Bark Ferment Filtrate,lactobacillus/lycium chinense fruit/rehmannia glutinosa root/cuscuta chinensis fruit/cistanche deserticola/zanthoxylum piperitum fruit/chrysanthemum morifolium fruit/poria cocos/cinnamomum cassia ramulus bark ferment filtrate
12708,Lactobacillus/Magnolia Obovata Ferment Filtrate,lactobacillus/magnolia obovata ferment filtrate
12709,Lactobacillus/Mangosteen Pericarp Ferment Filtrate,lactobacillus/mangosteen pericarp ferment filtrate
12710,Lactobacillus/Mesembryanthemum Crystallinum Extract Ferment Lysate,lactobacillus/mesembryanthemum crystallinum extract ferment lysate
12711,Lactobacillus/Milk Ferment Filtrate,lactobacillus/milk ferment filtrate
12712,Lactobacillus/Milk Ferment Lysate Filtrate,lactobacillus/milk ferment lysate filtrate
12713,Lactobacillus/Milk Solids/Soybean Oil Ferment,lactobacillus/milk solids/soybean oil ferment
12714,Lactobacillus/Milk/Calcium/Phosphorus/Magnesium/Zinc Ferment,lactobacillus/milk/calcium/phosphorus/magnesium/zinc ferment
12715,Lactobacillus/Milk/Gloiopeltis Furcata/Laminaria Japonica/Undaria Pinnatifida Ferment Lysate Filtrate,lactobacillus/milk/gloiopeltis furcata/laminaria japonica/undaria pinnatifida ferment lysate filtrate
12716,Lactobacillus/Milk/Glycine Soja Oil Ferment,lactobacillus/milk/glycine soja oil ferment
12717,Lactobacillus/Milk/Manganese/Zinc Ferment Lysate,lactobacillus/milk/manganese/zinc ferment lysate
12718,Lactobacillus/Milt Ferment Filtrate,lactobacillus/milt ferment filtrate
12719,Lactobacillus/Nelumbo Nucifera Seed Ferment Filtrate,lactobacillus/nelumbo nucifera seed ferment filtrate
12720,Lactobacillus/Nereocystis Leutkeana Ferment Filtrate,lactobacillus/nereocystis leutkeana ferment filtrate
12721,Lactobacillus/Nonfat Milk Ferment Powder,lactobacillus/nonfat milk ferment powder
12722,Lactobacillus/Oat Ferment Extract Filtrate,lactobacillus/oat ferment extract filtrate
12723,Lactobacillus/Oat/Rye/Wheat Seed Extract Ferment,lactobacillus/oat/rye/wheat seed extract ferment
12724,Lactobacillus/Olea Europaea Leaf Ferment Extract,lactobacillus/olea europaea leaf ferment extract
12725,Lactobacillus/Olive Leaf Ferment Extract,lactobacillus/olive leaf ferment extract
12726,Lactobacillus/Opuntia Ficus-Indica Extract Ferment Extract Filtrate,lactobacillus/opuntia ficus-indica extract ferment extract filtrate
12727,Lactobacillus/Oryza Sativa Bran/Saccharomyces/Camellia Sinensis Leaf Extract Ferment,lactobacillus/oryza sativa bran/saccharomyces/camellia sinensis leaf extract ferment
12728,Lactobacillus/Oryza Sativa Ferment,lactobacillus/oryza sativa ferment
12729,Lactobacillus/Paecilomyces Japonica Mycelium/Panax Ginseng Root Ferment Filtrate,lactobacillus/paecilomyces japonica mycelium/panax ginseng root ferment filtrate
12730,Lactobacillus/Panax Ginseng Berry Extract Ferment Filtrate,lactobacillus/panax ginseng berry extract ferment filtrate
12731,Lactobacillus/Panax Ginseng Berry/Leaf/Root Extract Ferment,lactobacillus/panax ginseng berry/leaf/root extract ferment
12732,Lactobacillus/Panax Ginseng Leaf Ferment Filtrate,lactobacillus/panax ginseng leaf ferment filtrate
12733,Lactobacillus/Panax Ginseng Root Extract Ferment Filtrate,lactobacillus/panax ginseng root extract ferment filtrate
12734,Lactobacillus/Panax Ginseng Root Ferment Filtrate,lactobacillus/panax ginseng root ferment filtrate
12735,Lactobacillus/Papaya Fruit Ferment Extract,lactobacillus/papaya fruit ferment extract
12736,Lactobacillus/Pear Juice Ferment Filtrate,lactobacillus/pear juice ferment filtrate
12737,Lactobacillus/Perilla Frutescens Leaf Ferment Extract Filtrate,lactobacillus/perilla frutescens leaf ferment extract filtrate
12738,Lactobacillus/Persimmon Fruit Juice Extract,lactobacillus/persimmon fruit juice extract
12739,Lactobacillus/Phaseolus Angularis Seed Extract Ferment Extract Filtrate,lactobacillus/phaseolus angularis seed extract ferment extract filtrate
12740,Lactobacillus/Phaseolus Radiatus Seed Ferment Filtrate,lactobacillus/phaseolus radiatus seed ferment filtrate
12741,Lactobacillus/Phellinus Linteus Mycelium/Rice Ferment Extract,lactobacillus/phellinus linteus mycelium/rice ferment extract
12742,Lactobacillus/Phoenix Dactylifera Fruit Ferment Extract,lactobacillus/phoenix dactylifera fruit ferment extract
12743,Lactobacillus/Phoenix Dactylifera Fruit Ferment Filtrate,lactobacillus/phoenix dactylifera fruit ferment filtrate
12744,Lactobacillus/Phormium Tenax Ferment Filtrate,lactobacillus/phormium tenax ferment filtrate
12745,Lactobacillus/Phragmites Communis Root Extract Ferment Filtrate,lactobacillus/phragmites communis root extract ferment filtrate
12746,Lactobacillus/Phyllostachys Heterocycla Stem Ferment Extract,lactobacillus/phyllostachys heterocycla stem ferment extract
12747,Lactobacillus/Phyllostachys Pubescens Stem/Honey Ferment Filtrate,lactobacillus/phyllostachys pubescens stem/honey ferment filtrate
12748,Lactobacillus/Pichia/Saccharomyces/Rice Bran Extract/Saccharina Japonica Extract Ferment Filtrate,lactobacillus/pichia/saccharomyces/rice bran extract/saccharina japonica extract ferment filtrate
12749,Lactobacillus/Pichia/Saccharomyces/Rice Bran Ferment,lactobacillus/pichia/saccharomyces/rice bran ferment
12750,Lactobacillus/Pichia/Saccharomycopsis/Rice Bran Extract Ferment Filtrate,lactobacillus/pichia/saccharomycopsis/rice bran extract ferment filtrate
12751,Lactobacillus/Pichia/Saccharomycopsis/Rice Bran Extract Ferment Filtrate Extract,lactobacillus/pichia/saccharomycopsis/rice bran extract ferment filtrate extract
12752,Lactobacillus/Pinus Koraiensis Seed Extract Ferment Extract Filtrate,lactobacillus/pinus koraiensis seed extract ferment extract filtrate
12753,Lactobacillus/Piper Longum Fruit/Sanguisorba Officinalis Root Extract Ferment Filtrate,lactobacillus/piper longum fruit/sanguisorba officinalis root extract ferment filtrate
12754,Lactobacillus/Polysorbate 80 Ferment Filtrate,lactobacillus/polysorbate 80 ferment filtrate
12755,Lactobacillus/Porphyridium Ferment,lactobacillus/porphyridium ferment
12756,Lactobacillus/Portulaca Oleracea Ferment Extract,lactobacillus/portulaca oleracea ferment extract
12757,Lactobacillus/Propionibacterium/Lactose/Lemon Fruit/Date Fruit/Fig Fruit/Walnut Nut/Soybean/Onion Bulb/Soybean Sprout/Celery Bulb/Coconut Fruit/Artichoke Buds/Millet Seed/Pea Pod Ferment Filtrate,lactobacillus/propionibacterium/lactose/lemon fruit/date fruit/fig fruit/walnut nut/soybean/onion bulb/soybean sprout/celery bulb/coconut fruit/artichoke buds/millet seed/pea pod ferment filtrate
12758,Lactobacillus/Prunus Mume Flower Extract Ferment Filtrate,lactobacillus/prunus mume flower extract ferment filtrate
12759,Lactobacillus/Prunus Mume Fruit Extract Ferment Extract Filtrate,lactobacillus/prunus mume fruit extract ferment extract filtrate
12760,Lactobacillus/Prunus Mume Fruit/Leaf/Root Extract Ferment Filtrate,lactobacillus/prunus mume fruit/leaf/root extract ferment filtrate
12761,Lactobacillus/Pueraria Lobata Root Extract Ferment Filtrate,lactobacillus/pueraria lobata root extract ferment filtrate
12762,Lactobacillus/Pueraria Mirifica Root Ferment Filtrate,lactobacillus/pueraria mirifica root ferment filtrate
12763,Lactobacillus/Pueraria Thunbergiana Flower/Leaf/Stem Extract Ferment,lactobacillus/pueraria thunbergiana flower/leaf/stem extract ferment
12764,Lactobacillus/Pumpkin Ferment Extract,lactobacillus/pumpkin ferment extract
12765,Lactobacillus/Pumpkin Fruit Ferment Filtrate,lactobacillus/pumpkin fruit ferment filtrate
12766,Lactobacillus/Punica Granatum Fruit Ferment Extract,lactobacillus/punica granatum fruit ferment extract
12767,Lactobacillus/Punica Granatum Fruit Juice Ferment Filtrate,lactobacillus/punica granatum fruit juice ferment filtrate
12768,Lactobacillus/Quinoa Ferment Extract Filtrate,lactobacillus/quinoa ferment extract filtrate
12769,Lactobacillus/Radish Root Ferment Filtrate,lactobacillus/radish root ferment filtrate
12770,Lactobacillus/Rapeseed Leaf/Radish Root/Fructose Ferment Filtrate,lactobacillus/rapeseed leaf/radish root/fructose ferment filtrate
12771,Lactobacillus/Rhodopseudomonas/Saccharomyces/Molasses/Lavender/Thymus Serpyllum/Cymbopogon Citratus/Peppermint/Melissa Officinalis/Chamomilla Recutita Flower/Bergamot Leaf/Spearmint/Rosemary Ferment Filtrate,lactobacillus/rhodopseudomonas/saccharomyces/molasses/lavender/thymus serpyllum/cymbopogon citratus/peppermint/melissa officinalis/chamomilla recutita flower/bergamot leaf/spearmint/rosemary ferment filtrate
12772,Lactobacillus/Rhodopseudomonas/Saccharomyces/Molasses/Yeast Extract/Magnesium Chloride/Calcium Carbonate Ferment Filtrate,lactobacillus/rhodopseudomonas/saccharomyces/molasses/yeast extract/magnesium chloride/calcium carbonate ferment filtrate
12773,Lactobacillus/Rhodopseudomonas/Saccharomyces/Rice Bran/Undaria Pinnatifida Ferment Filtrate,lactobacillus/rhodopseudomonas/saccharomyces/rice bran/undaria pinnatifida ferment filtrate
12774,Lactobacillus/Rhodopseudomonas/Saccharomyces/Sucrose/(Scutellaria Baicalensis/Coptis Chinensis) Root/Phellodendron Amurense Bark/Lonicera Japonica Flower/Chaenomeles Sinensis Fruit/Camellia Sinensis Leaf/Brassica Oleracea Italica Ferment Filtrate,lactobacillus/rhodopseudomonas/saccharomyces/sucrose/(scutellaria baicalensis/coptis chinensis) root/phellodendron amurense bark/lonicera japonica flower/chaenomeles sinensis fruit/camellia sinensis leaf/brassica oleracea italica ferment filtrate
12775,Lactobacillus/Rhus Semialata Gall Extract Ferment,lactobacillus/rhus semialata gall extract ferment
12776,Lactobacillus/Rice Bran Ferment Filtrate,lactobacillus/rice bran ferment filtrate
12777,Lactobacillus/Rice Bran/Saccharomyces/Camellia Sinensis Leaf Extract Ferment,lactobacillus/rice bran/saccharomyces/camellia sinensis leaf extract ferment
12778,Lactobacillus/Rice Ferment,lactobacillus/rice ferment
12779,Lactobacillus/Rice Ferment Filtrate,lactobacillus/rice ferment filtrate
12780,Lactobacillus/Rice/Camellia Sinensis Leaf/Taraxacum Platycarpum Ferment Extract,lactobacillus/rice/camellia sinensis leaf/taraxacum platycarpum ferment extract
12781,Lactobacillus/Rosa Centifolia Flower Extract Ferment Filtrate,lactobacillus/rosa centifolia flower extract ferment filtrate
12782,Lactobacillus/Rosa Centifolia Flower Ferment Filtrate,lactobacillus/rosa centifolia flower ferment filtrate
12783,Lactobacillus/Rosa Rugosa Fruit Ferment Extract Filtrate,lactobacillus/rosa rugosa fruit ferment extract filtrate
12784,Lactobacillus/Royal Jelly Ferment Filtrate,lactobacillus/royal jelly ferment filtrate
12785,Lactobacillus/Rye Flour Ferment,lactobacillus/rye flour ferment
12786,Lactobacillus/Rye Flour Ferment Filtrate,lactobacillus/rye flour ferment filtrate
12787,Lactobacillus/Saccharomyces Silkworm Extract Ferment Filtrate,lactobacillus/saccharomyces silkworm extract ferment filtrate
12788,Lactobacillus/Saccharomyces/(Blueberry/Raspberry/Strawberry/Cranberry/Euterpe Oleracea) Fruit/Thyme/Rosemary/Vaccinium Myrtillus/Rosa Canina/Cymbopogon Schoenanthus/Eriocephalus Punctulatus Ferment,lactobacillus/saccharomyces/(blueberry/raspberry/strawberry/cranberry/euterpe oleracea) fruit/thyme/rosemary/vaccinium myrtillus/rosa canina/cymbopogon schoenanthus/eriocephalus punctulatus ferment
12789,Lactobacillus/Saccharomyces/Achyranthis Radix Root/Angelica Gigantis Root/Cuscuta Japonica Seed/Cynanchum Wilfordii Root/Lycium Chinense Fruit/Panax Ginseng Root/Poria Cocos Fruiting Body Ferment Filtrate,lactobacillus/saccharomyces/achyranthis radix root/angelica gigantis root/cuscuta japonica seed/cynanchum wilfordii root/lycium chinense fruit/panax ginseng root/poria cocos fruiting body ferment filtrate
12790,Lactobacillus/Saccharomyces/Astragalus Membranaceus Root Extract Ferment Filtrate,lactobacillus/saccharomyces/astragalus membranaceus root extract ferment filtrate
12791,Lactobacillus/Saccharomyces/Blueberry/Rice/Soybean/Vaccinium Myrtillus Extract Ferment Filtrate,lactobacillus/saccharomyces/blueberry/rice/soybean/vaccinium myrtillus extract ferment filtrate
12792,Lactobacillus/Saccharomyces/Cnidii Rhizoma Root Ferment Filtrate,lactobacillus/saccharomyces/cnidii rhizoma root ferment filtrate
12793,Lactobacillus/Saccharomyces/Cnidium Officinale Rhizome/Coptidis Japonica Rhizome/Corn/Zizyphus Jujuba Fruit Ferment Filtrate,lactobacillus/saccharomyces/cnidium officinale rhizome/coptidis japonica rhizome/corn/zizyphus jujuba fruit ferment filtrate
12794,Lactobacillus/Saccharomyces/Coptidis Rhizome Ferment Filtrate,lactobacillus/saccharomyces/coptidis rhizome ferment filtrate
12795,Lactobacillus/Saccharomyces/Euterpe Oleracea Fruit Extract Ferment Filtrate,lactobacillus/saccharomyces/euterpe oleracea fruit extract ferment filtrate
12796,Lactobacillus/Saccharomyces/Glucose/Cabbage Leaf/Lettuce Leaf/Garlic Leaf/Perilla Frutescens Leaf/Brassica Rapa Chinensis/Brassica Rapa Peruviridis/Carrot Root/Ginger Root/Cucumber Fruit/Melon Fruit/Watermelon Fruit/Capsicum Annuum Fruit/Citrus Hassaku Fruit/Citrus Junos Fruit/Lemon Fruit/Cauliflower/Peach Fruit/Citrus Salicina Fruit/Sweet Cherry Fruit/Fig Fruit/Lentinus Edodes/Asparagus Stem/Brassica Rapa Pekinensis Leaf/Chrysanthemum Coronarium/Cryptotaenia Japonica/Brussels Sprouts/Celery/Raphanus Sativus/Turnip Root/Radish/Tomato Fruit/Pineapple Fruit/Hibiscus Esculentus Fruit/Citrus Unshiu Fruit/Tangerine Fruit/Citrus Natsudaidai Fruit/Broccoli Flower/Apple Fruit/Pear Fruit/Grape Fruit/Eriobotrya Japonica Fruit/Hypsizigus Marmoreus/Flammulina Velutipes/Strawberry Fruit/Undaria Pinnatifida/Laminaria Japonica Ferment Filtrate,lactobacillus/saccharomyces/glucose/cabbage leaf/lettuce leaf/garlic leaf/perilla frutescens leaf/brassica rapa chinensis/brassica rapa peruviridis/carrot root/ginger root/cucumber fruit/melon fruit/watermelon fruit/capsicum annuum fruit/citrus hassaku fruit/citrus junos fruit/lemon fruit/cauliflower/peach fruit/citrus salicina fruit/sweet cherry fruit/fig fruit/lentinus edodes/asparagus stem/brassica rapa pekinensis leaf/chrysanthemum coronarium/cryptotaenia japonica/brussels sprouts/celery/raphanus sativus/turnip root/radish/tomato fruit/pineapple fruit/hibiscus esculentus fruit/citrus unshiu fruit/tangerine fruit/citrus natsudaidai fruit/broccoli flower/apple fruit/pear fruit/grape fruit/eriobotrya japonica fruit/hypsizigus marmoreus/flammulina velutipes/strawberry fruit/undaria pinnatifida/laminaria japonica ferment filtrate
12797,Lactobacillus/Saccharomyces/Glucose/Cabbage Leaf/Lettuce Leaf/Garlic Leaf/Perilla Frutescens Leaf/Brassica Rapa Chinensis/Brassica Rapa Peruviridis/Carrot Root/Ginger Root/Cucumber Fruit/Melon Fruit/Watermelon Fruit/Capsicum Annuum Fruit/Citrus Hassaku Fruit/Citrus Junos Fruit/Lemon Fruit/Cauliflower/Peach Fruit/Citrus Salicina Fruit/Sweet Cherry Fruit/Fig Fruit/Lentinus Edodes/Asparagus Stem/ Brassica Rapa Pekinensis Leaf/Chrysanthemum Coronarium/Cryptotaenia Japonica/Brussels Sprouts/Celery/Raphanus Sativus Sprout/Turnip Root/ Radish/Tomato Fruit/Pineapple Fruit/Hibiscus Esculentus Fruit/Citrus Unshiu Fruit/Tangerine Fruit/Citrus Natsudaidai Fruit/Broccoli Flower/Apple Fruit/Pear Fruit/Grape Fruit/Eriobotrya Japonica Fruit/Hypsizigus Marmoreus/Flammulina Velutipes/Strawberry Fruit/Undaria Pinnatifida/Laminaria Japonica Ferment Filtrate,lactobacillus/saccharomyces/glucose/cabbage leaf/lettuce leaf/garlic leaf/perilla frutescens leaf/brassica rapa chinensis/brassica rapa peruviridis/carrot root/ginger root/cucumber fruit/melon fruit/watermelon fruit/capsicum annuum fruit/citrus hassaku fruit/citrus junos fruit/lemon fruit/cauliflower/peach fruit/citrus salicina fruit/sweet cherry fruit/fig fruit/lentinus edodes/asparagus stem/ brassica rapa pekinensis leaf/chrysanthemum coronarium/cryptotaenia japonica/brussels sprouts/celery/raphanus sativus sprout/turnip root/ radish/tomato fruit/pineapple fruit/hibiscus esculentus fruit/citrus unshiu fruit/tangerine fruit/citrus natsudaidai fruit/broccoli flower/apple fruit/pear fruit/grape fruit/eriobotrya japonica fruit/hypsizigus marmoreus/flammulina velutipes/strawberry fruit/undaria pinnatifida/laminaria japonica ferment filtrate
12798,Lactobacillus/Saccharomyces/Glucose/Cabbage Leaf/Lettuce Leaf/Garlic Leaf/Perilla Frutescens Leaf/Brassica Rapa Chinensis/Brassica Rapa Peruviridis/Carrot Root/Ginger Root/Cucumber Fruit/Melon Fruit/Watermelon Fruit/Capsicum Annuum Fruit/Citrus Hassaku Fruit/Citrus Junos Fruit/Lemon Fruit/Cauliflower/Peach Fruit/Citrus Salicina Fruit/Sweet Cherry Fruit/Fig Fruit/Lentinus Edodes/Asparagus Stem/ Brassica Rapa Pekinensis Leaf/Chrysanthemum Coronarium/Cryptotaenia Japonica/Brussels Sprouts/Celery/Raphanus Sativus/Turnip Root/ Radish/Tomato Fruit/Pineapple Fruit/Hibiscus Esculentus Fruit/Citrus Unshiu Fruit/Tangerine Fruit/Citrus Natsudaidai Fruit/Broccoli Flower/Apple Fruit/Pear Fruit/Grape Fruit/Eriobotrya Japonica Fruit/Hypsizigus Marmoreus/Flammulina Velutipes/Strawberry Fruit/Undaria Pinnatifida/Laminaria Japonica Ferment Filtrate,lactobacillus/saccharomyces/glucose/cabbage leaf/lettuce leaf/garlic leaf/perilla frutescens leaf/brassica rapa chinensis/brassica rapa peruviridis/carrot root/ginger root/cucumber fruit/melon fruit/watermelon fruit/capsicum annuum fruit/citrus hassaku fruit/citrus junos fruit/lemon fruit/cauliflower/peach fruit/citrus salicina fruit/sweet cherry fruit/fig fruit/lentinus edodes/asparagus stem/ brassica rapa pekinensis leaf/chrysanthemum coronarium/cryptotaenia japonica/brussels sprouts/celery/raphanus sativus/turnip root/ radish/tomato fruit/pineapple fruit/hibiscus esculentus fruit/citrus unshiu fruit/tangerine fruit/citrus natsudaidai fruit/broccoli flower/apple fruit/pear fruit/grape fruit/eriobotrya japonica fruit/hypsizigus marmoreus/flammulina velutipes/strawberry fruit/undaria pinnatifida/laminaria japonica ferment filtrate
12799,Lactobacillus/Saccharomyces/Hydrolyzed Rice Bran Ferment Filtrate,lactobacillus/saccharomyces/hydrolyzed rice bran ferment filtrate
12800,Lactobacillus/Saccharomyces/Magnolia Officinalis Bark Ferment Extract,lactobacillus/saccharomyces/magnolia officinalis bark ferment extract
12801,Lactobacillus/Saccharomyces/Molasses/Calcium Carbonate/Yeast Extract Ferment Filtrate,lactobacillus/saccharomyces/molasses/calcium carbonate/yeast extract ferment filtrate
12802,Lactobacillus/Saccharomyces/Panax Ginseng Root Ferment Extract,lactobacillus/saccharomyces/panax ginseng root ferment extract
12803,Lactobacillus/Saccharomyces/Pichia Anomala/Camellia Sinensis Leaf Extract/Artemisia Princeps Leaf Extract/Honey Ferment Filtrate,lactobacillus/saccharomyces/pichia anomala/camellia sinensis leaf extract/artemisia princeps leaf extract/honey ferment filtrate
12804,Lactobacillus/Saccharomyces/Pichia Anomala/Camellia Sinensis Leaf Extract/Honey Ferment Extract Filtrate,lactobacillus/saccharomyces/pichia anomala/camellia sinensis leaf extract/honey ferment extract filtrate
12805,Lactobacillus/Saccharomyces/Pichia Anomala/Camellia Sinensis Leaf Extract/Honey Ferment Filtrate,lactobacillus/saccharomyces/pichia anomala/camellia sinensis leaf extract/honey ferment filtrate
12806,Lactobacillus/Saccharomyces/Polygonatum Multiflorum Root Ferment Extract,lactobacillus/saccharomyces/polygonatum multiflorum root ferment extract
12807,Lactobacillus/Saccharomyces/Polygonatum Sibiricum Rhizome Ferment Extract,lactobacillus/saccharomyces/polygonatum sibiricum rhizome ferment extract
12808,Lactobacillus/Saccharomyces/Rehmannia Glutinosa Root Ferment Extract,lactobacillus/saccharomyces/rehmannia glutinosa root ferment extract
12809,Lactobacillus/Saccharomyces/Rhodobacter/Sucrose/Rice Extract/Lemon Fruit Ferment Filtrate,lactobacillus/saccharomyces/rhodobacter/sucrose/rice extract/lemon fruit ferment filtrate
12810,Lactobacillus/Saccharomyces/Rhodopseudomonas/Molasses/Calcium Carbonate/Yeast Extract Ferment Filtrate,lactobacillus/saccharomyces/rhodopseudomonas/molasses/calcium carbonate/yeast extract ferment filtrate
12811,Lactobacillus/Saccharomyces/Rice Bran Extract/Sophora Japonica Root Extract Ferment Filtrate,lactobacillus/saccharomyces/rice bran extract/sophora japonica root extract ferment filtrate
12812,Lactobacillus/Saccharomyces/Rice/Sucrose Ferment Filtrate,lactobacillus/saccharomyces/rice/sucrose ferment filtrate
12813,Lactobacillus/Saccharomyces/Stevia Rebaudiana Leaf/Stem Extract Ferment Filtrate,lactobacillus/saccharomyces/stevia rebaudiana leaf/stem extract ferment filtrate
12814,Lactobacillus/Saccharomyces/Turmeric Ferment Extract Filtrate,lactobacillus/saccharomyces/turmeric ferment extract filtrate
12815,Lactobacillus/Saccharomyces/Usnea Longissima Ferment Filtrate,lactobacillus/saccharomyces/usnea longissima ferment filtrate
12816,Lactobacillus/Saccharomyces/Zizyphus Fructus Fruit Ferment Filtrate,lactobacillus/saccharomyces/zizyphus fructus fruit ferment filtrate
12817,Lactobacillus/Salix Alba Bark Ferment Filtrate,lactobacillus/salix alba bark ferment filtrate
12818,Lactobacillus/Sarcodia Montagneana Extract Ferment,lactobacillus/sarcodia montagneana extract ferment
12819,Lactobacillus/Sasa Quelpaertensis Leaf/Stem Extract Ferment Filtrate,lactobacillus/sasa quelpaertensis leaf/stem extract ferment filtrate
12820,Lactobacillus/Schisandra Seed Extract Ferment Filtrate Extract,lactobacillus/schisandra seed extract ferment filtrate extract
12821,Lactobacillus/Schizosaccharomyces Ferment Filtrate,lactobacillus/schizosaccharomyces ferment filtrate
12822,Lactobacillus/Schizosaccharomyces/Camellia Sinensis Leaf Extract Ferment Filtrate,lactobacillus/schizosaccharomyces/camellia sinensis leaf extract ferment filtrate
12823,Lactobacillus/Scutellaria Baicalensis Root Extract Ferment Filtrate,lactobacillus/scutellaria baicalensis root extract ferment filtrate
