,name,synonym
5305,Ozokerite,"Earthwax, Earth Wax"
6,Water,"Eau, Aqua, Purified Water, Aqua / Water, Distilled Water, Deionized Water,Spring Water"
728,Solanum Melongena Fruit Extract,"Eggplant Extract, Eggplant"
1318,Arachidic Acid,"Eicosanoic Acid, Icosanoic Acid,Arachidonic Acid"
2276,Sambucus Nigra Flower,Elder Flower
3522,Canarium Commune Gum Oil,Elemi Essential Oil
342,Ulmus Davidiana Root Extract,"Elm Root Extract, Slippery Elm Extract"
2129,Emblica Officinalis Fruit Powder,"Emblica Officinalis (Amla) Fruit Powder, Amla Powder,Amla"
2566,Juglans Regia Seed Extract,English Walnut Extract
653,Phenylbenzimidazole Sulfonic Acid,Ensulizole
780,4-Methylbenzylidene Camphor,"Enzacamene (4-Mbc), Eusolex 6300, Parsol 5000, Enzacamene,7-Trimethyl-3-[(4-Methylphenyl)Methylene]Bicyclo[2.2.1]Heptan-2-One"
688,Magnesium Sulfate,"Epsom Salt, Magnesium Sulphate"
279,Calcium Ascorbate,"Ester-C, Vitamin C Ester"
796,Acetic Acid,Ethanoic Acid
13353,Peg-75 Lanolin,Ethoxylated Lanolin
104,3-O-Ethyl Ascorbic Acid,Ethyl Ascorbic Acid
1000,EDTA,Ethylene Diamine Tetraacetic Acid
4170,Glycol Stearate,Ethylene Glycol Monostearate
2337,Eucalyptus Globulus Leaf Oil,Eucalyptus Essential Oil
434,Oenothera Biennis Oil,"Evening Primrose Oil, Epo"
683,Eclipta Prostrata Leaf Extract,False Daisy Leaf Extract
1691,Blue 1 Lake,Fd&C Blue No. 1
5759,Foeniculum Vulgare Oil,Fennel Essential Oil
1537,Foeniculum Vulgare Fruit Extract,Fennel Seed Extract
475,Chrysanthemum Parthenium Extract,Feverfew Extract
16872,Equisetum Arvense Leaf Extract,"Field Horsetail, Common Horsetail"
3156,Brassica Campestris Extract,Field Mustard Extract
2344,Brassica Campestris Seed Oil,Field Mustard Seed Oil
307,Ficus Carica Fruit Extract,"Fig Extract, Fig"
19616,Abies Sibirica Needle Oil,Fir Needle Essential Oil
65,Houttuynia Cordata Extract,"Fish Mint, Fish Mint Extract, Heart Leaf Extract,Chameleon Plant"
1804,Aroma,Flavor
830,Linum Usitatissimum Seed Oil,"Flaxseed Oil, Linseed Oil"
186,Folic Acid,"Folate , Vitamin B9,Folacin"
110,Parfum,"Fragrance, Fragrance Oil,Fo"
1029,Boswellia Carterii Oil,"Frankincense Essential Oil, Frankincense Oil"
659,Montmorillonite,"French Black Clay, Black Clay, French Green Clay, Green Clay, Red Clay,Montmorillonite Clay"
384,Fructose,Fruit Sugar
3992,Ferula Galbaniflua Resin Oil,Galbanum Essential Oil
1043,Aminobutyric Acid,"Gamma-Aminobutyric Acid, Gaba"
7993,Fragaria Ananassa Fruit Water,Garden Strawberry Water
860,Diazolidinyl Urea,"Germaben Ii, Germaben Ii E,Germall Ii"
9562,Liquid Germall Plus,Germall Plus
137,Chamomilla Recutita Flower Extract,German Chamomile Flower Oil
3899,Matricaria Recutita Flower Oil,German Chamomile Oil
27,Copper Tripeptide-1,"Ghk-Cu, Glycyl-L-Histidyl-L-Lysine, Ghk,Copper Peptide"
954,Macrocystis Pyrifera Extract,Giant Kelp
2729,Zingiber Officinale Root,Ginger
375,Zingiber Officinale Root Extract,"Ginger, Ginger Root"
2491,Zingiber Officinale Root Oil,Ginger Essential Oil
293,Ginkgo Biloba Leaf Extract,"Ginkgo Leaf Extract, Ginkgo Extract"
6648,Ginkgo Biloba Nut Extract,Ginkgo Nut Extract
372,Glyceryl Caprylate,"Glycerol 1-Octanoate, Glyceryl Monocaprylate"
2540,Glyceryl Behenate,Glycerol Docosanoate
211,Glyceryl Stearate,"Glyceryl Stearate Nse, Glyceryl Stearate Gms-Nse"
1193,DMDM Hydantoin,Glydant
350,Goat Milk,Goats Milk Powder
708,Lycium Barbarum Fruit Extract,Goji Berry Extract
9,Centella Asiatica Extract,"Gotu Kola, Tiger Grass, Indian Pennywort, Cica, Asiatic Acid, Hydrocotyl,Asiatic Pennywort"
5630,Aframomum Melegueta Seed Extract,Grains Of Paradise
376,Vitis Vinifera,"Grape, Grape Vine"
800,Vitis Vinifera Juice,Grape Juice
1642,Vitis Vinifera Leaf Oil,Grape Leaf Oil
832,Vitis Vinifera Oil,Grape Oil
198,Vitis Vinifera Seed Oil,"Grape Seed Oil, Grapeseed Oil"
3246,Citrus Grandis Peel Oil,"Grapefruit Peel Oil, Grapefruit Essential Oil"
3905,Citrus Grandis Seed Extract,"Grapefruit Seed Extract, Gse"
25865,Arctium Majus Root Extract,Greater Burdock
138,Camellia Sinensis Leaf,Green Tea Leaf
306,Camellia Sinensis Seed Oil,Green Tea Seed Oil
22,Camellia Sinensis Leaf Extract,"Green Tea, Oolong Tea, White Tea, Black Tea, Green Tea Extract,Green Tea Leaf Extract"
8897,Physalis Peruviana Extract,"Ground Cherry, Groundcherries, Husk Tomatoes, Husk Cherries, Poha Berries, Golden Berries,Ground Fruit"
2209,Cyamopsis Tetragonoloba Gum,Guar Gum
5389,Astragalus Gummifer Gum,Gum Tragacanth
2484,Corylus Avellana Seed Oil,"Hazelnut Oil, Hazel Nut Oil"
929,Cannabis Sativa Flower/Leaf/Stem Extract,"Hemp Extract, Full Spectrum Hemp Extract"
162,Cannabis Sativa Seed Oil,"Hemp Oil, Hemp Seed Oil"
1686,Undecane,Hendecane
5545,Lawsonia Inermis Extract,"Henna, Red Henna"
1549,Cetyl Palmitate,Hexadecyl Hexadecanoate
6838,Hibiscus Sabdariffa Flower Powder,Hibiscus Flowers
1496,Chamaecyparis Obtusa Water,Hinoki Cypress Water
7967,Chamaecyparis Obtusa Oil,Hinoki Essential Oil
530,Ocimum Sanctum Leaf Extract,"Holy Basil, Holy Basil Extract,Tulsi Extract"
324,Maltodextrin,Honey Powder
