,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
45,1-Furfuryl-1h-Pyrrole,,1-Furfuryl-1h-Pyrrole,1-Furfuryl-1h-Pyrrole,1-furfuryl-1h-pyrrole
46,1-Hexen-3-Ol,,1-Hexen-3-Ol,1-Hexen-3-Ol,1-hexen-3-ol
47,"1-Hexyl 4,5-Diamino Pyrazole Sulfate",,"1-Hexyl 4,5-Diamino Pyrazole Sulfate",1-Hexyl 4.5-Diamino Pyrazole Sulfate,"1-hexyl 4,5-diamino pyrazole sulfate"
48,"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",,"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",1-Hydroxyethyl 4.5-Diamino Pyrazole Sulfate,"1-hydroxyethyl 4,5-diamino pyrazole sulfate"
49,1-Isopropyl-4-Methylbicyclooctene-2-Carbaldehyde,,1-Isopropyl-4-Methylbicyclooctene-2-Carbaldehyde,1-Isopropyl-4-Methylbicyclooctene-2-Carbaldehyde,1-isopropyl-4-methylbicyclooctene-2-carbaldehyde
50,1-Methyl-4-Methylethenyl-Cyclohexene Sulfurized,,1-Methyl-4-Methylethenyl-Cyclohexene Sulfurized,1-Methyl-4-Methylethenyl-Cyclohexene Sulfurized,1-methyl-4-methylethenyl-cyclohexene sulfurized
51,1-Methyl-4-Methylvinyl-Cyclohexanol,,1-Methyl-4-Methylvinyl-Cyclohexanol,1-Methyl-4-Methylvinyl-Cyclohexanol,1-methyl-4-methylvinyl-cyclohexanol
52,1-Methyl-4-Methylvinyl-Cyclohexene,,1-Methyl-4-Methylvinyl-Cyclohexene,1-Methyl-4-Methylvinyl-Cyclohexene,1-methyl-4-methylvinyl-cyclohexene
53,1-Methyl-4-Methylvinyl-Cyclohexyl Acetate,,1-Methyl-4-Methylvinyl-Cyclohexyl Acetate,1-Methyl-4-Methylvinyl-Cyclohexyl Acetate,1-methyl-4-methylvinyl-cyclohexyl acetate
54,1-Methyldecyl Acetate,,1-Methyldecyl Acetate,1-Methyldecyl Acetate,1-methyldecyl acetate
55,1-Methylhydantoin-2-Imide,,1-Methylhydantoin-2-Imide,1-Methylhydantoin-2-Imide,1-methylhydantoin-2-imide
56,1-Naphthaleneacetic Acid,,1-Naphthaleneacetic Acid,1-Naphthaleneacetic Acid,1-naphthaleneacetic acid
57,1-Naphthol,,1-Naphthol,1-Naphthol,1-naphthol
58,1-Nitropropane,,1-Nitropropane,1-Nitropropane,1-nitropropane
59,1-Nonen-3-Ol,,1-Nonen-3-Ol,1-Nonen-3-Ol,1-nonen-3-ol
60,1-Penten-3-Ol,,1-Penten-3-Ol,1-Penten-3-Ol,1-penten-3-ol
61,1-Phenylpropyl Acetate,,1-Phenylpropyl Acetate,1-Phenylpropyl Acetate,1-phenylpropyl acetate
62,1-Trimethyl-2-Cyclohexenyl-1-Penten-3-One,,1-Trimethyl-2-Cyclohexenyl-1-Penten-3-One,1-Trimethyl-2-Cyclohexenyl-1-Penten-3-One,1-trimethyl-2-cyclohexenyl-1-penten-3-one
63,1-Trimethyl-3-Cyclohexenylethanone,,1-Trimethyl-3-Cyclohexenylethanone,1-Trimethyl-3-Cyclohexenylethanone,1-trimethyl-3-cyclohexenylethanone
64,2-(1-Ethylpropyl)Pyridine,,2-(1-Ethylpropyl)Pyridine,2-(1-Ethylpropyl)Pyridine,2-(1-ethylpropyl)pyridine
65,2-(2-Aminoethoxy)Ethanol,,2-(2-Aminoethoxy)Ethanol,2-(2-Aminoethoxy)Ethanol,2-(2-aminoethoxy)ethanol
66,"2,2-Dimethyl-3-Phenylpropionaldehyde",,"2,2-Dimethyl-3-Phenylpropionaldehyde",2.2-Dimethyl-3-Phenylpropionaldehyde,"2,2-dimethyl-3-phenylpropionaldehyde"
67,"2,2'-Methylenebis-4-Aminophenol",,"2,2'-Methylenebis-4-Aminophenol",2.2'-Methylenebis-4-Aminophenol,"2,2'-methylenebis-4-aminophenol"
68,"2,2'-Methylenebis-4-Aminophenol Hcl",,"2,2'-Methylenebis-4-Aminophenol Hcl",2.2'-Methylenebis-4-Aminophenol Hcl,"2,2'-methylenebis-4-aminophenol hcl"
69,"2,2'-Thiobis(4-Chlorophenol)",,"2,2'-Thiobis(4-Chlorophenol)",2.2'-Thiobis(4-Chlorophenol),"2,2'-thiobis(4-chlorophenol)"
70,"2,3,4,4a,5,6,7,8-Octahydro-2,5,5-Trimethyl-2-Naphthol",,"2,3,4,4a,5,6,7,8-Octahydro-2,5,5-Trimethyl-2-Naphthol",2.3.4.4a.5.6.7.8-Octahydro-2.5.5-Trimethyl-2-Naphthol,"2,3,4,4a,5,6,7,8-octahydro-2,5,5-trimethyl-2-naphthol"
71,"2,3,6-Trimethylcyclohexylmethyl Acetate",,"2,3,6-Trimethylcyclohexylmethyl Acetate",2.3.6-Trimethylcyclohexylmethyl Acetate,"2,3,6-trimethylcyclohexylmethyl acetate"
72,"2,3,6-Trimethylphenol",,"2,3,6-Trimethylphenol",2.3.6-Trimethylphenol,"2,3,6-trimethylphenol"
73,"2,3-Butanediol",,"2,3-Butanediol",2.3-Butanediol,"2,3-butanediol"
74,"2,3-Diaminodihydropyrazolo Pyrazolone Dimethosulfonate",,"2,3-Diaminodihydropyrazolo Pyrazolone Dimethosulfonate",2.3-Diaminodihydropyrazolo Pyrazolone Dimethosulfonate,"2,3-diaminodihydropyrazolo pyrazolone dimethosulfonate"
75,"2,3-Diethylpyrazine",,"2,3-Diethylpyrazine",2.3-Diethylpyrazine,"2,3-diethylpyrazine"
76,"2,3-Dihydro-2,2,6-Trimethylbenzaldehyde",,"2,3-Dihydro-2,2,6-Trimethylbenzaldehyde",2.3-Dihydro-2.2.6-Trimethylbenzaldehyde,"2,3-dihydro-2,2,6-trimethylbenzaldehyde"
77,"2,3-Dimethyl-2-Nonenenitrile",,"2,3-Dimethyl-2-Nonenenitrile",2.3-Dimethyl-2-Nonenenitrile,"2,3-dimethyl-2-nonenenitrile"
78,"2,3-Dimethyl-4-(2,6,6-Trimethyl-1-Cyclohexenyl)-2-Butenal",,"2,3-Dimethyl-4-(2,6,6-Trimethyl-1-Cyclohexenyl)-2-Butenal",2.3-Dimethyl-4-(2.6.6-Trimethyl-1-Cyclohexenyl)-2-Butenal,"2,3-dimethyl-4-(2,6,6-trimethyl-1-cyclohexenyl)-2-butenal"
79,"2,3-Dimethyl-4-Formyl-1-Phenyl-5-Pyrazolone",,"2,3-Dimethyl-4-Formyl-1-Phenyl-5-Pyrazolone",2.3-Dimethyl-4-Formyl-1-Phenyl-5-Pyrazolone,"2,3-dimethyl-4-formyl-1-phenyl-5-pyrazolone"
80,"2,3-Epoxypropyl Cocodimonium Chloride",,"2,3-Epoxypropyl Cocodimonium Chloride",2.3-Epoxypropyl Cocodimonium Chloride,"2,3-epoxypropyl cocodimonium chloride"
81,"2,3-Epoxypropyl Lauryldimonium Chloride",,"2,3-Epoxypropyl Lauryldimonium Chloride",2.3-Epoxypropyl Lauryldimonium Chloride,"2,3-epoxypropyl lauryldimonium chloride"
82,"2,3-Epoxypropyltrimoniium Chloride",,"2,3-Epoxypropyltrimoniium Chloride",2.3-Epoxypropyltrimoniium Chloride,"2,3-epoxypropyltrimoniium chloride"
83,"2,3-Xylenol",,"2,3-Xylenol",2.3-Xylenol,"2,3-xylenol"
84,"2,4,6-Trimethyl-3-Cyclohexenecarbaldehyde",,"2,4,6-Trimethyl-3-Cyclohexenecarbaldehyde",2.4.6-Trimethyl-3-Cyclohexenecarbaldehyde,"2,4,6-trimethyl-3-cyclohexenecarbaldehyde"
85,"2,4,6-Trimethyl-3-Cyclohexenyl-4-Penten-3-One",,"2,4,6-Trimethyl-3-Cyclohexenyl-4-Penten-3-One",2.4.6-Trimethyl-3-Cyclohexenyl-4-Penten-3-One,"2,4,6-trimethyl-3-cyclohexenyl-4-penten-3-one"
86,"2,4,6-Trimethyl-4-Phenyl-1,3-Dioxane",,"2,4,6-Trimethyl-4-Phenyl-1,3-Dioxane",2.4.6-Trimethyl-4-Phenyl-1.3-Dioxane,"2,4,6-trimethyl-4-phenyl-1,3-dioxane"
87,"2,4,6-Trimethylcyclohexylmethyl Acetate",,"2,4,6-Trimethylcyclohexylmethyl Acetate",2.4.6-Trimethylcyclohexylmethyl Acetate,"2,4,6-trimethylcyclohexylmethyl acetate"
88,"2,4-Diaminophenoxyethanol Hcl",,"2,4-Diaminophenoxyethanol Hcl",2.4-Diaminophenoxyethanol Hcl,"2,4-diaminophenoxyethanol hcl"
89,"2,4-Diaminophenoxyethanol Sulfate",,"2,4-Diaminophenoxyethanol Sulfate",2.4-Diaminophenoxyethanol Sulfate,"2,4-diaminophenoxyethanol sulfate"
90,"2,4-Diethylphenyl Methyl Ketone",,"2,4-Diethylphenyl Methyl Ketone",2.4-Diethylphenyl Methyl Ketone,"2,4-diethylphenyl methyl ketone"
91,"2,4-Dimethyl Cyclohexenecarbonitrile",,"2,4-Dimethyl Cyclohexenecarbonitrile",2.4-Dimethyl Cyclohexenecarbonitrile,"2,4-dimethyl cyclohexenecarbonitrile"
92,"2,4-Dimethyl-2-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-Hexamethyl-2-Naphthalenyl)-1,3-Dioxolane",,"2,4-Dimethyl-2-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-Hexamethyl-2-Naphthalenyl)-1,3-Dioxolane",2.4-Dimethyl-2-(5.6.7.8-Tetrahydro-3.5.5.6.8.8-Hexamethyl-2-Naphthalenyl)-1.3-Dioxolane,"2,4-dimethyl-2-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-1,3-dioxolane"
93,"2,4-Dimethyl-3-Cyclohexene Carboxaldehyde",,"2,4-Dimethyl-3-Cyclohexene Carboxaldehyde",2.4-Dimethyl-3-Cyclohexene Carboxaldehyde,"2,4-dimethyl-3-cyclohexene carboxaldehyde"
94,"2,4-Dimethyl-3-Cyclohexene-1-Methanol",,"2,4-Dimethyl-3-Cyclohexene-1-Methanol",2.4-Dimethyl-3-Cyclohexene-1-Methanol,"2,4-dimethyl-3-cyclohexene-1-methanol"
95,"2,4-Dimethyl-3-Cyclohexene-1-Methylacetate",,"2,4-Dimethyl-3-Cyclohexene-1-Methylacetate",2.4-Dimethyl-3-Cyclohexene-1-Methylacetate,"2,4-dimethyl-3-cyclohexene-1-methylacetate"
