IngredientIdentifier,Name,Description,CASCODE,ECHA_LINK,EntityId,CategoryId,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Id,CreatedBy,CreatedOn,LastModifiedBy,LastModifiedOn,IsActive,column3
G05496,Helichrysum Stoechas Flower Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3705,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05497,Propylheptyl Caprylate,,,,,1,FALSE,FALSE,FALSE,FALSE,3706,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05498,Fragaria Ananassa (Strawberry) Seed Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3707,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05499,Prunus Amygdalus Dulcis (Sweet Almond) Shell Powder,,,,,1,FALSE,FALSE,FALSE,FALSE,3708,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05500,Citrus Aurantium Dulcis Fruit Extract (Orange Fruit),,,,,1,FALSE,FALSE,FALSE,FALSE,3709,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05501,Prunus Amygdalus Dulcis Shell Powder,,,,,1,FALSE,FALSE,FALSE,FALSE,3710,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05502,Tussilago Farfara Flower Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3711,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05503,Prunus Armeniaca Juice,,,,,1,FALSE,FALSE,FALSE,FALSE,3712,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05504,Iris Ensata Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3713,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05505,Prunus Cerasus (Bitter Cherry) Juice,,,,,1,FALSE,FALSE,FALSE,FALSE,3714,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05506,Prunus Spinosa Fruit Juice,,,,,1,FALSE,FALSE,FALSE,FALSE,3715,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G07823,Citrus Limon Peel Oil / Lemon Peel Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3716,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
