Ingredient ID,Ingredient,Usage,No.of products contained in
10599,Sodium Polyquaternium Crosspolym...,"Hair Conditioning, Film Forming",0
10600,Sodium Sesameseedate,"Cleansing, Emulsifying",0
10601,Sodium Silver Thioctoyl Hyaluronate,"Antimicrobial, Antiseborrhoeic, Skin Conditioning",0
10602,Sodium Stearoyl Hydrolyzed Soy P...,"Cleansing, Skin Conditioning",0
10603,Sodium Stearoamphohydroxypropyls...,"Cleansing, Emulsifying",0
10604,Chitosan Succinamide,Film Forming,2
10605,Sodium Ricebranamphoacetate,Surfactant,0
10606,Sodium Saffloweroyl Hydrolyzed S...,"Cleansing, Skin Conditioning",0
10607,Hydrolyzed Lupinus Albus Flower ...,Skin Protecting,1
10608,Sodium Stannate,Stabilising,0
10609,Sodium Stearoyl Hydrolyzed Corn ...,"Cleansing, Skin Conditioning",0
10610,Sodium Stearyl Dimethyl Glycine,"Cleansing, Emulsifying",0
10611,Sodium Ricinoleoamphoacetate,"Cleansing, Foaming",0
10612,Sodium Safflowerate,Cleansing,0
10613,Sodium Sesamphoacetate,Cleansing,0
10614,Sodium Stearoamphopropionate,"Cleansing, Foaming",0
10615,Sodium Stearoyl Hydrolyzed Sweet...,"Emollient, Emulsifying, Skin Conditioning",0
10616,Sodium Succinoyl Gelatin,Skin Conditioning,0
10617,Sodium Sunflowerseedamphoacetate,Cleansing,1
10618,Sodium Stearoyl Hydrolyzed Silk,"Cleansing, Skin Conditioning",0
10619,Sodium Stearoyl Soy Protein,"Cleansing, Skin Conditioning",0
10620,Isomerized Jojoba Oil,"Emollient, Skin Conditioning",1
10621,Sodium Trideceth-6 Carboxylate,"Cleansing, Foaming",0
10622,Sodium Styrene/Acrylates/Ethylhe...,Film Forming,0
10623,Sodium Succinate Laurylglucoside...,Cleansing,0
10624,Soluble Fibroin,Skin Protecting,1
10625,Sodium Theobroma Grandiflorum Se...,Cleansing,0
10626,Sodium Trehalose Octenylsuccinate,"Emulsion Stabilising, Skin Conditioning",0
10627,Sodium Stearoyl Pea Protein,"Cleansing, Skin Conditioning",0
10628,Sodium Stearyl Sulfate,"Cleansing, Emulsifying",0
10629,Sodium Tallowamphoacetate,Cleansing,0
10630,Sodium Tauride Acrylates/Acrylic...,"Film Forming, Viscosity Controlling",0
10631,Sodium Tosyl Valinate,Skin Conditioning,0
10632,Sodium Undecylenoamphopropionate,"Cleansing, Foaming",0
10633,Sodium Styrene/Acrylates/Divinyl...,"Opacifying, Oral Care, Film Forming",0
10634,Sodium Thioctoyl Hyaluronate,Skin Conditioning,0
10635,Sodium Tungstate Antimonate,"Antimicrobial, Stabilising",0
10636,Sodium Zinc Cetyl Phosphate,"Astringent, Skin Conditioning, Skin Protecting",0
10637,Sodium/Tea-Undecylenoyl Alginate,"Emulsion Stabilising, Skin Conditioning",0
10638,Sodium Thioglycolate,Antioxidant,0
10639,Sodium Trideceth-15 Carboxylate,Cleansing,0
10640,Sodium Undecylenoamphoacetate,"Cleansing, Foaming",0
10641,Sodium/Aluminum Hydroxide/Oxalat...,"Absorbent, Humectant, Abrasive",0
10642,Sodium/Aluminum/Iron/Sulfate/Tar...,"Antimicrobial, Humectant, UV Absorber",0
10643,Sodium/Tea-Undecylenoyl Hydrolyz...,"Cleansing, Skin Conditioning",0
10644,Sodium Trideceth-7 Carboxylate,"Cleansing, Foaming",0
10645,Lactobacillus/Brassica Oleracea ...,"Emollient, Humectant, Skin Conditioning",0
10646,Sodium/Aluminum/Iron Hydroxide/O...,"Absorbent, Abrasive",0
10647,Sodium/Tea-Undecylenoyl Hydrolyz...,"Cleansing, Skin Conditioning",0
10648,Sodium/Mea Laureth-2 Sulfosuccinate,"Cleansing, Emulsifying",0
10649,Solanum Lycopersicum Fruit Oil,Skin Conditioning,0
10650,Solanum Melongena Fruit Powder,Oral Care,0
10651,Solanum Stramoniifolium Fruit Ex...,Skin Conditioning,0
10652,Sodium Undeceth-5 Carboxylate,"Cleansing, Emulsifying",0
10653,Sodium Zinc Taurine Dithiooctana...,Skin Conditioning,0
10654,Sodium/Tea-Lauroyl Hydrolyzed Ke...,"Cleansing, Skin Conditioning",0
10655,Sodium/Tea-Undecylenoyl Hydrolyz...,"Cleansing, Skin Conditioning",0
10656,Solanum Lycopersicum Callus Cult...,"Skin Conditioning, Antioxidant, Skin Protecting",0
10657,Sodium Zinc Histidine Dithioocta...,Antioxidant,0
10658,Sodium/Aluminum/Iron/Sulfate/Cit...,"Antimicrobial, Humectant, UV Absorber",0
10659,Sodium Wheat Germamphoacetate,Cleansing,0
10660,Solanum Tuberosum Callus Culture...,Skin Conditioning,0
10661,Solanum Tuberosum Pulp Water,"Humectant, Skin Conditioning, Skin Protecting",0
10662,Sodium Capryloamphopropionate,"Cleansing, Foaming",0
10663,Sodium C12-15 Pareth-8 Carboxylate,"Cleansing, Emulsifying",0
10664,Tripeptide-30,Skin Conditioning,0
10665,Sodium C4-12 Olefin/Maleic Acid ...,Emulsion Stabilising,0
10666,Sodium Calcium Silver Phosphate,Antimicrobial,0
10667,Sodium Capryleth-9 Carboxylate,Emulsifying,0
10668,Sodium Capryloyl Hydrolyzed Whea...,"Cleansing, Skin Conditioning",0
10669,Sodium Carboxydecyl Peg-8 Dimeth...,"Emulsifying, Skin Conditioning",0
10670,Sodium Capryleth-2 Carboxylate,Surfactant,0
10671,Sodium Cocaminopropionate,"Cleansing, Foaming",0
10672,Sodium Carboxymethyl Euglena Gra...,Skin Conditioning,0
10673,Sodium Carboxymethyl Tallow Poly...,"Antistatic, Hair Conditioning, Surfactant",0
10674,Sodium Cellulose Sulfate,Emulsion Stabilising,0
10675,Sodium Calcium Copper Phosphate,"Abrasive, Buffering",0
10676,Sodium Caprooyl Hyaluronate,"Skin Conditioning, Skin Protecting",0
10677,Sodium Chitosan Caprylamide Hydr...,"Emollient, Emulsifying",0
10678,Sodium Carboxymethyl Dextran Sul...,"Humectant, Skin Conditioning, Skin Protecting",0
10679,Sodium Carboxymethyl Chitosan La...,"Emulsifying, Skin Conditioning",0
10680,Sodium Carbonate Peroxide,"Deodorant, Oxidising",0
10681,Sodium Caprylyl Sulfate,"Hydrotrope, Surfactant, Viscosity Controlling",0
10682,Sodium Cetyl Sulfate,"Cleansing, Emulsifying, Foaming",0
10683,Sodium Carboxymethyl Dextran Ace...,"Humectant, Skin Protecting",0
10684,Sodium Coceth-30 Sulfate,Cleansing,0
10685,Sodium Chitosan Isostearamide Hy...,"Emollient, Skin Conditioning, Skin Protecting",0
10686,Sodium Cocoyl Hydrolyzed Keratin,Skin Conditioning,0
10687,Sodium Carboxymethyl Oleyl Polyp...,"Antistatic, Hair Conditioning, Surfactant",0
10688,Sodium Castorate,Emulsifying,1
10689,Sodium Cocoglyceryl Ether Sulfonate,"Cleansing, Foaming",0
10690,Sodium Cocoglucosides Hydroxypro...,"Cleansing, Emulsifying",0
10691,Sodium Cocomonoglyceride Sulfate,"Cleansing, Foaming",0
10692,Sodium Cocoyl Hydrolyzed Rice Pr...,Skin Conditioning,0
10693,Sodium Cinnamate,"Antimicrobial, Perfuming",0
10694,C12-13 Alkyl Methacrylate,"",0
10695,Pantoea/Rice Bran Ferment Extrac...,"Humectant, Skin Conditioning",0
10696,Sodium Cocoyl Hydrolyzed Pea Pro...,"Foam Boosting, Hydrotrope, Surfactant",0
10697,Sodium Cocoyl Oat Amino Acids,"Cleansing, Skin Conditioning",0
10698,Sodium Chitosan Rice Branamide H...,"Emollient, Emulsifying, Skin Conditioning",0
10699,Sodium Coco/Babassu Sulfate,"Cleansing, Emulsifying",0
10700,Sodium Cocoyl Hydrolyzed Collagen,Skin Conditioning,0
10701,Sodium Cocoyl Methylaminopropionate,Cleansing,0
10702,Sodium Cocoyl Collagen Amino Acids,"Antistatic, Hair Conditioning, Surfactant",1
10703,Sodium Coco/Hydrogenated Tallow ...,"Cleansing, Emulsifying, Foaming",0
10704,Sodium Cocoglucosides Hydroxypro...,"Cleansing, Emulsifying",0
10705,Sodium Cocoyl/Palmoyl/Sunflowero...,"Cleansing, Emulsifying",0
10706,Sodium Cottonseedamphoacetate,Cleansing,0
10707,Sodium Deceth-2 Carboxylate,"Cleansing, Emulsifying",0
10708,Sodium Cocoyl Lactylate,"Cleansing, Emulsifying",0
10709,Sodium Cocoyl Hydrolyzed Silk,Skin Conditioning,0
10710,Sodium Cocoyl Methyl Beta-Alanine,Skin Conditioning,0
10711,Sodium Cyclic Lysophosphatidic Acid,"Humectant, Skin Conditioning",0
10712,Sodium Dacryopinax Spathularia/G...,"Humectant, Skin Conditioning",0
10713,Sodium Dilinoleate,Cleansing,2
10714,Sodium Dilaureth-4 Phosphate,Emulsifying,0
10715,Sodium Cocoyl/Hydrogenated Tallo...,Cleansing,0
10716,Sodium Cornamphopropionate,"Cleansing, Foaming",0
10717,Sodium Cyclamate,Masking,0
10718,Sodium Dicarboxyethylcoco Phosph...,"Antistatic, Hair Conditioning, Surfactant",0
10719,Sodium Dimethicone Peg-7 Acetyl ...,Skin Conditioning,0
10720,Sodium Emuamidopropyl Pg-Dimoniu...,"Antistatic, Hair Conditioning",0
10721,Sodium Cupheoyl Lactylate,"Cleansing, Emulsifying",0
10722,Sodium Dermatan Sulfate,Skin Conditioning,0
10723,Sodium Diethylaminopropyl Cocoas...,"Hair Conditioning, Surfactant",0
10724,Sodium Dimaltodextrin Phosphate,Viscosity Controlling,0
10725,Sodium Distearoyl Glyceryl Ascor...,"Humectant, Skin Conditioning, Antioxidant",0
10726,Sodium Dvb/Acrylates Copolymer,Film Forming,0
10727,Sodium Cyclopentane Carboxylate,Surfactant,0
10728,P-Phenylenediamine,Hair Dyeing,0
10729,Sodium Dextrin Octenylsuccinate,"Emollient, Emulsion Stabilising, Humectant",0
10730,Sodium Dilaureth-7 Citrate,"Cleansing, Emulsifying",0
10731,Sodium Diceteareth-10 Phosphate,Emulsifying,0
10732,Sodium Dilinoleamidopropyl Pg-Di...,Cleansing,0
10733,Sodium Dimyristoyl Glyceryl Asco...,"Humectant, Skin Conditioning, Antioxidant",0
10734,Sodium Ethyl Ester Of Pvm/Ma Cop...,"Binding, Film Forming",0
10735,Sodium Ferulate,Skin Conditioning,0
10736,Sodium Fructoborate,"Humectant, Skin Conditioning",0
10737,Tripeptide-24,Skin Conditioning,0
10738,Sodium Dimethicone Peg-7 Acetyl ...,Skin Conditioning,0
10739,Sodium Dioleth-8 Phosphate,"Cleansing, Emulsifying",0
10740,Sodium Ethyl 2-Sulfolaurate,Cleansing,0
10741,Tripeptide-39,Skin Conditioning,0
10742,Tripeptide-42,Skin Conditioning,0
10743,Sodium Dipalmitoyl Glycerophosphate,Skin Conditioning,0
10744,Sodium Dimer Coenzyme A,"Emollient, Skin Conditioning",0
10745,Sodium Formylhippurate Trifluoro...,Skin Conditioning,0
10746,Tripeptide-45,Skin Conditioning,0
10747,Tripeptide-46 Hexapeptide-40 Dec...,"Skin Conditioning, Skin Protecting",0
10748,Tripeptide-46 Hexapeptide-40 Dec...,Skin Conditioning,0
10749,Tripeptide-6,Skin Conditioning,0
10750,Tripeptide-64,Skin Conditioning,0
10751,Tripeptide-70,"",0
10752,Geum Aleppicum Extract,Skin Conditioning,0
10753,Sodium Hydrogenated Honey Octeny...,"Cleansing, Emulsion Stabilising, Humectant",0
10754,Sodium Ethylhexylglyceryl Ascorbate,"Humectant, Antioxidant",0
10755,Sodium Glycogen Octenylsuccinate,"Humectant, Skin Conditioning",0
10756,Vitex Trifolia Fruit Extract,Skin Conditioning,10
10757,Olive Oil Ethylhexyl Esters,"",2
10758,Hydrogenated Wheat Germ Oil Unsa...,Skin Conditioning,0
10759,Sodium Guanosine Cyclic Monophos...,Skin Conditioning,0
10760,Sodium Grape Seed Extract Phosphate,"Skin Conditioning, Antioxidant",0
10761,Sodium Heparosan,"Humectant, Skin Protecting",0
10762,Sodium Hydrolyzed Casein,Skin Conditioning,0
10763,Sodium Hydroxylauryldimonium Eth...,"Cleansing, Emulsifying",0
10764,Schisandra Chinensis Seed Extract,Skin Conditioning,8
10765,Sodium Hydroxypropylsulfonate Co...,"Cleansing, Emulsifying, Skin Conditioning",0
10766,Sodium Isostearoamphoacetate,"Cleansing, Foaming",0
10767,Sodium Styrene/Acrylates/Peg-10 ...,"Opacifying, Film Forming",0
10768,Sodium Laureth-6 Carboxylate,"Cleansing, Foaming",1
10769,Sodium Lauroamphopropionate,"Cleansing, Foaming",0
10770,Sodium Laureth-8 Carboxylate,Cleansing,0
10771,Sodium Laureth-17 Carboxylate,"Cleansing, Foaming",0
10772,Sodium Molybdate,Anticorrosive,0
10773,Sodium Laureth-7 Tartrate,"Cleansing, Foaming",0
10774,Sodium Isopropylparaben,Preservative,0
10775,Sodium Isosteareth-6 Carboxylate,"Cleansing, Emulsifying",0
10776,Sodium Lauriminodipropionate,"Cleansing, Foaming",0
10777,Sodium Lauroyl Hydrolyzed Collagen,Skin Conditioning,0
10778,Sodium Isostearoyl Lactate,"Cleansing, Emulsifying",0
10779,Sodium Hydroxypropylphosphate La...,"Cleansing, Emulsifying",1
10780,Sodium Lauraminopropionate,"Cleansing, Emulsifying",3
10781,Sodium Hydroxypyranonylmethyl Su...,Skin Conditioning,0
10782,Sodium Lauryl Hydroxyacetamide S...,Cleansing,0
10783,Sodium Laureth-2 Phosphate,Emulsifying,0
10784,Sodium Laureth-12 Carboxylate,Cleansing,0
10785,Sodium Olivoyl Glutamate,Cleansing,9
10786,Sodium Lauroyl Millet Amino Acids,Cleansing,0
10787,Sodium Lauroyl/Myristoyl Aspartate,Cleansing,0
10788,Dicapryl/Dicaprylyl Dimonium Chl...,Emulsifying,0
10789,Glyceryl Cocoate/Citrate/Lactate,Emollient,0
10790,Sodium Maleate Laurylglucoside C...,Cleansing,0
10791,Sodium Caprate,Cleansing,0
10792,Sh-Polypeptide-72,Skin Protecting,0
10793,Sh-Polypeptide-78,Skin Conditioning,0
10794,Sh-Polypeptide-58,"Emollient, Skin Conditioning, Skin Protecting",1
10795,Sh-Polypeptide-96,"",0
10796,Sh-Polypeptide-99,Skin Conditioning,0
10797,Sh-Polypeptide-6,"Humectant, Skin Conditioning",0
10798,Sh-Polypeptide-76,Skin Conditioning,0
10799,Sh-Polypeptide-82,Skin Conditioning,0
10800,Lauryl Acrylate/Va Crosspolymer,Abrasive,0
10801,Sideritis Hyssopifolia Flower/Le...,Skin Conditioning,0
10802,Sideritis Scardica Leaf/Stem/Flo...,Skin Conditioning,0
10803,Sida Rhombifolia Extract,Skin Conditioning,0
10804,Sh-Tetrapeptide-2,Skin Conditioning,0
10805,Sh/S-Mouse Polypeptide-2,"",0
10806,Shikimoyl Sh-Nonapeptide-12,"Antimicrobial, Antioxidant, Skin Protecting",0
10807,Sida Cordifolia Root Powder,Skin Conditioning,0
10808,Sheep Milk Yogurt Extract,Skin Conditioning,0
10809,Shea Butter Polyglyceryl-3 Esters,"Emulsion Stabilising, Skin Conditioning",0
10810,Shikimoyl Nonapeptide-11,"Antiseborrhoeic, Antioxidant, Skin Protecting",0
10811,Sideritis Syriaca Extract,"Skin Conditioning, Antioxidant, Skin Protecting",0
10812,Silene Armeria/Colorata/Uniflora...,Skin Conditioning,0
10813,Silene Uniflora Extract,Skin Protecting,0
10814,Silica Methacryloyloxypropyl Sil...,Viscosity Controlling,0
10815,Sheep Adipose Stromal Cell Condi...,Skin Conditioning,0
10816,Shellac Cera,"Emollient, Skin Conditioning",0
10817,Shikimoyl Hexapeptide-48,"Antioxidant, Skin Protecting",0
10818,Shinorine,"Antimicrobial, Antioxidant, Skin Protecting",0
10819,Silanetriol Lysinate,"Emollient, Skin Conditioning",0
10820,Silene Firma Branch/Fruit/Leaf E...,Skin Conditioning,0
10821,Silicone Quaternium-2,"Antistatic, Hair Conditioning",0
10822,Silicone Quaternium-24,Hair Conditioning,0
10823,Shorea Robusta Resin Extract,Skin Conditioning,0
10824,Silene Velutina Extract,Skin Conditioning,0
10825,Silkworm Rh-Polypeptide-69,"Humectant, Skin Conditioning",0
10826,Silicon Carbide,Abrasive,1
10827,Silene Uralensis Callus Culture ...,"Antimicrobial, Antioxidant, Skin Protecting",0
10828,Silicone Quaternium-21,"Emollient, Emulsifying",0
10829,Sheep Skin Extract,Skin Protecting,0
10830,Silicone Quaternium-27,Hair Conditioning,0
10831,Silkworm R-Sleeping Chironomid P...,"Humectant, Skin Conditioning",0
10832,Silene Acaulis Callus Culture Ex...,"Antimicrobial, Antioxidant, Skin Protecting",0
10833,Silicone Quaternium-16/Glycidoxy...,Hair Conditioning,0
10834,Silicone Quaternium-30,Hair Conditioning,0
10835,Silkworm Chrysalis Oil,Emollient,0
10836,Silicone Quaternium-28,Hair Conditioning,0
10837,Silicone Quaternium-5,"Antistatic, Hair Conditioning",0
10838,Silkworm Sh-Oligopeptide-1,Skin Conditioning,0
10839,Silver Acetylmethionate,Antimicrobial,0
10840,Silver Hydroxide,"Skin Conditioning, Antioxidant",0
10841,Silkworm Sh-Polypeptide-47,"Humectant, Skin Conditioning",0
10842,Silicone Quaternium-2 Panthenol ...,"Antistatic, Hair Conditioning",1
10843,Silicone Quaternium-25,"Emollient, Skin Conditioning",0
10844,Silicone Quaternium-7,"Antistatic, Hair Conditioning",0
10845,Veronica Officinalis Leaf Extract,Skin Conditioning,0
10846,Silkworm Rh-Polypeptide-47,"Emollient, Humectant, Skin Conditioning",0
10847,Silver Carboxymethylalaninate,Antiseborrhoeic,0
10848,Skatole,Perfuming,0
10849,Silicone Quaternium-6,Foaming,0
10850,Silver Magnesium Aluminum Phosphate,Antimicrobial,0
10851,Silver/Titanium Carbide,Antimicrobial,0
10852,Simaruba Amara Extract,Skin Protecting,1
10853,Chryseobacterium Sp. Mk-8 Fermen...,"Humectant, Skin Conditioning",0
10854,Siparuna Guianensis Leaf Oil,Masking,0
10855,Silkworm Chrysalis Extract,"Emollient, Skin Protecting",0
10856,Sodium Acetyl Ethylcarboxyl Meth...,"Humectant, Skin Conditioning",0
10857,Silkworm Sh-Polypeptide-69,"Humectant, Skin Conditioning",0
10858,Silver Borosilicate,"Antimicrobial, Skin Conditioning",0
10859,Silver Copper Zeolite,Absorbent,0
10860,Silybin Maltoside,"Skin Conditioning, Skin Protecting",0
10861,Sinapis Arvensis Flower Extract,"Skin Conditioning, Skin Protecting",0
10862,Siraitia Grosvenorii Fruit Powder,Abrasive,0
10863,Ci 40800,Cosmetic Colorant,21
10864,Saccharum Spontaneum Extract,"Humectant, Skin Conditioning",0
10865,Sinapyl Acetate Hydroxyphenethyl...,"Antioxidant, Skin Protecting",0
10866,Smilax China Fruit Extract,"Antimicrobial, Astringent, Emollient",0
10867,Snake Oil,"Emollient, Skin Conditioning",0
10868,Sinomenium Acutum Branch/Leaf Ex...,Emollient,0
10869,Smilax China Extract,"Antimicrobial, Astringent, Emollient",0
10870,Smilax Medica Root Extract,Tonic,0
10871,Sodium Acrylate/Methylstyrene/St...,"Binding, Nail Conditioning",0
10872,Smilax Lancefolia Root/Stalk Powder,"Masking, Abrasive, Skin Protecting",0
10873,Tripeptide-35,Skin Conditioning,0
10874,Sodium (Astrocaryum Vulgare/Eute...,Cleansing,0
10875,Sodium Arganate,Cleansing,0
10876,Sodium Babassu Sulfate,Cleansing,0
10877,Sodium Behenoyl Lactylate,Emulsifying,1
10878,Smilax Utilis Root Extract,Skin Conditioning,0
10879,Sodium Acetyl Cysteinate,"Absorbent, Skin Conditioning, UV Absorber",0
10880,Sodium Acrylates/Methacryloyleth...,Antiplaque,0
10881,Sodium Babassuate,Cleansing,0
10882,Sodium Acrylate/Acrylonitrogens ...,Skin Conditioning,0
10883,Sodium Acrylate/Hydroxyethyl Acr...,"Antistatic, Hair Conditioning, Film Forming",1
10884,Sodium Bis-Hydroxyethylglycinate...,Cleansing,0
10885,Sodium Butyl Ester Of Pvm/Ma Cop...,"Binding, Film Forming",0
10886,Sodium Amps,"",1
10887,Sodium Aluminum Chlorohydroxy La...,Astringent,0
10888,Sodium Arganamphoacetate,Cleansing,0
10889,Sodium Babassuamphoacetate,Surfactant,0
10890,Sodium Behenoyl/Cocoyl (Alanine/...,"Cleansing, Emulsion Stabilising",0
10891,Sodium Acrylates/Vinyl Isodecano...,Emulsion Stabilising,0
10892,Sodium Aluminate,Buffering,0
10893,Sodium Borohydride,"Skin Conditioning, Antioxidant",0
10894,Sodium Butylglucosides Hydroxypr...,Emulsifying,0
10895,Sodium Behenoyl/Cocoyl (Arginine...,Cleansing,0
10896,Sodium C12-13 Pareth-8 Carboxylate,"Cleansing, Emulsifying",0
10897,Sodium C12-14 Sec-Pareth-8 Carbo...,Cleansing,0
10898,Sodium C8-10 Alkyl Sulfate,Cleansing,0
10899,Sodium Cholesteryl Sulfate,Skin Conditioning,0
10900,Sodium Calcium Boron Phosphate,"Antimicrobial, Skin Conditioning, Abrasive",0
10901,Sodium Camellia Japonica Seedate,Cleansing,0
10902,Sodium Esylate,Buffering,0
10903,Sodium Bis-Hydroxyethylglycinate...,Cleansing,0
10904,Sodium Butoxyethoxy Acetate,Buffering,0
10905,Sodium C10-16 Alkyl Sulfate,Cleansing,0
10906,Sodium C12-14 Sec-Pareth-3 Sulfate,Cleansing,0
10907,Sodium C12-15 Pareth-7 Carboxylate,"Cleansing, Emulsifying",0
10908,Sodium C13-15 Pareth-3 Sulfate,Cleansing,0
10909,Sodium Butyroyl/Formoyl Hyaluronate,Humectant,0
10910,Sodium C8-16 Isoalkylsuccinyl Wh...,"Skin Conditioning, Skin Protecting",0
10911,Sodium C12-15 Alkyl Sulfate,"Cleansing, Emulsifying, Foaming",0
10912,Sodium C12-15 Pareth-6 Carboxylate,"Cleansing, Emulsifying",0
10913,Sodium C13-15 Pareth-8 Butyl Pho...,"Cleansing, Emulsifying, Foaming",0
10914,Sodium C14-15 Pareth-8 Carboxylate,"Cleansing, Emulsifying",0
10915,Sodium Capryloamphoacetate,"Cleansing, Foaming",0
10916,Sodium C12-13 Pareth-2 Phosphate,Cleansing,0
10917,Sodium C12-15 Pareth-3 Sulfonate,"Cleansing, Emulsifying",0
10918,Senna Garrettiana Leaf Extract,"Humectant, Skin Conditioning",0
10919,Sesame Oil/Succinic Acid/Tririci...,Emollient,0
10920,Sesamum Indicum Seedcake Extract,"Humectant, Skin Conditioning, Antioxidant",0
10921,Sh-Decapeptide-1 Sh-Polypeptide-9,Skin Conditioning,0
10922,Sequoia Sempervirens Stem Extract,Skin Conditioning,0
10923,Serenoa Serrulata Fruit Powder,Skin Conditioning,0
10924,Sesamidopropyl Betaine,"Cleansing, Skin Conditioning",0
10925,Sh-Decapeptide-1 Sh-Polypeptide-1,Skin Conditioning,0
10926,Sh-Heptapeptide-2,Skin Conditioning,0
10927,Sh-Heptapeptide-6 Sp,"Antioxidant, Skin Protecting",0
10928,Sh-Decapeptide-1,Skin Conditioning,0
10929,Sesamum Indicum Meristem Cell Cu...,"Antimicrobial, Humectant, Antioxidant",0
10930,Sesqui-C12-16 Alkanes,"Emollient, Skin Conditioning",0
10931,Sh-Decapeptide-1 Sh-Polypeptide-2,Skin Conditioning,0
10932,Sh-Heptapeptide-3,Skin Conditioning,0
10933,Sh-Oligopeptide-95 Sp,Antioxidant,0
10934,Sh-Heptapeptide-7 Sp,"Antimicrobial, Skin Conditioning, Antioxidant",0
10935,Sh-Decapeptide-1 Sh-Oligopeptide-4,Skin Conditioning,0
10936,Sh-Decapeptide-4 Sp,"",0
10937,Sh-Decapeptide-8 Sp,"",0
10938,Sh-Heptapeptide-4 Sp Trifluoroac...,"Humectant, Skin Conditioning",0
10939,Setaria Viridis Leaf Extract,Skin Conditioning,0
10940,Sh-Decapeptide-13,Hair Conditioning,0
10941,Sh-Heptapeptide-5 Sp,Skin Protecting,0
10942,Sh-Nonapeptide-12,Skin Conditioning,0
10943,Sh-Octapeptide-16,"Antioxidant, Skin Protecting",0
10944,Sh-Oligopeptide-1 Sh-Polypeptide...,"Skin Conditioning, Skin Protecting",0
10945,Sh-Decapeptide-23,"Antioxidant, Skin Protecting",0
10946,Sh-Decapeptide-5 Sp,"Skin Conditioning, Skin Protecting",0
10947,Sh-Dna,Bleaching,0
10948,Sh-Oligopeptide-1 Sh-Polypeptide...,Skin Protecting,0
10949,Sh-Oligopeptide-1 Sr-Sea Raven P...,Skin Protecting,0
10950,Sh-Oligopeptide-18 Sp,Skin Conditioning,0
10951,Sh-Oligopeptide-22 Sp,Skin Conditioning,0
10952,Sh-Tripeptide-4,Skin Conditioning,0
10953,Sh-Hexapeptide-5 Sp,"",0
10954,Sh-Humanin Sp,"Antimicrobial, Emollient, Skin Conditioning",0
10955,Sh-Octapeptide-3,Bleaching,0
10956,Sh-Oligopeptide-60,Skin Conditioning,0
10957,Sh-Oligopeptide-12,Skin Conditioning,0
10958,Sh-Oligopeptide-21 Sp,Skin Conditioning,0
10959,Sh-Oligopeptide-26 Sp,"Emollient, Skin Conditioning, Skin Protecting",0
10960,Sh-Oligopeptide-5 Sp,"Bleaching, Emollient, Skin Conditioning",0
10961,Sh-Oligopeptide-72,Skin Conditioning,0
10962,Sh-Oligopeptide-75,Skin Conditioning,0
10963,Sh-Hexapeptide-8 Sp,"",0
10964,Sh-Nonapeptide-2,Skin Conditioning,0
10965,Sh-Oligopeptide-1 Alanyl Sr-Spid...,Skin Protecting,0
10966,Sh-Oligopeptide-1 Sr-Egyptian Sc...,Skin Protecting,0
10967,Sh-Oligopeptide-1 Tripeptide-58 ...,"Humectant, Skin Conditioning, Skin Protecting",0
10968,Sh-Oligopeptide-24 Sp,Skin Conditioning,0
10969,Sh-Octapeptide-2,"Skin Conditioning, Skin Protecting",0
10970,Sh-Oligopeptide-1 Sp,"",0
10971,Sh-Oligopeptide-11,Skin Conditioning,0
10972,Sh-Oligopeptide-16,Skin Conditioning,0
10973,Sh-Oligopeptide-25 Sp,Skin Conditioning,0
10974,Sh-Oligopeptide-28 Beta-Alanine ...,"Antimicrobial, Skin Conditioning, Antioxidant",0
10975,Sh-Oligopeptide-5,Skin Conditioning,0
10976,Sh-Oligopeptide-19 Sp,Skin Conditioning,0
10977,Sh-Oligopeptide-73 Amide Acetate,"Skin Conditioning, Skin Protecting",0
10978,Sh-Oligopeptide-75 Sh-Oligopepti...,Skin Conditioning,0
10979,Sh-Oligopeptide-8,"Humectant, Skin Conditioning, Skin Protecting",0
10980,Sh-Oligopeptide-90 Sp,Hair Conditioning,0
10981,Sh-Pentapeptide-10 Sp,"",0
10982,Sh-Pentapeptide-5 Tripeptide-35,"Antioxidant, Skin Protecting",0
10983,Sh-Oligopeptide-7,"Humectant, Skin Conditioning, Skin Protecting",0
10984,Sh-Oligopeptide-87,Antiseborrhoeic,0
10985,Sh-Oligopeptide-91 Sp,Bleaching,0
10986,Sh-Pentapeptide-9 Sp Amide,"Antimicrobial, Humectant, Skin Conditioning",0
10987,Sh-Polypeptide-102,Skin Protecting,0
10988,Shark Fin Extract,"Emollient, Humectant, Skin Conditioning",0
10989,Sh-Oligopeptide-75 Amide,"Astringent, Antioxidant, Skin Protecting",0
10990,Sh-Oligopeptide-88,"Antiseborrhoeic, Humectant",0
10991,Lactobacillus/Saccharomyces/Rhod...,Humectant,0
10992,Sh-Pentapeptide-35,Skin Conditioning,0
10993,Sh-Pentapeptide-8,Skin Conditioning,0
10994,Sh-Oligopeptide-70,Skin Conditioning,0
10995,Sh-Oligopeptide-84,"Emollient, Humectant, Skin Conditioning",0
10996,Sh-Pentapeptide-4,Skin Conditioning,0
10997,Sh-Pentapeptide-7,Skin Conditioning,0
10998,Sh-Polypeptide-1 Nonapeptide-29,"Emollient, Skin Conditioning, Skin Protecting",0
10999,Sh-Pentapeptide-38,Skin Conditioning,0
11000,Sh-Polypeptide-101,Skin Conditioning,0
